n,Loop A (ns),Loop B (ns)
1,960400,5400
2,1929300,1900
3,282000,600
4,565200,3100
5,429100,1400
6,520200,1900
7,362000,7200
8,29000,7600
9,35400,1800
10,56000,1800
11,59600,2200
12,44600,2300
13,54200,2300
14,60900,6500
15,56800,6100
16,77100,7900
17,69300,29800
18,74800,6000
19,88600,4300
20,80400,42200
21,83100,43700
22,101800,12300
23,128000,17600
24,166500,26300
25,114500,32800
26,116000,21400
27,86800,12900
28,103700,12800
29,111500,15200
30,112900,17200
31,137400,95900
32,118500,20200
33,126300,115800
34,131500,14300
35,132600,20300
36,158500,41800
37,140700,39800
38,152200,17400
39,160100,17100
40,144300,50500
41,169200,69800
42,163700,67300
43,154600,28700
44,166200,32800
45,182000,35200
46,163500,112200
47,183100,55000
48,200800,228200
49,188400,83600
50,185400,69700
51,208700,49000
52,193200,47800
53,195000,45900
54,214300,30000
55,199600,48900
56,223200,60300
57,214200,30300
58,226100,6900
59,220200,46900
60,230900,7400
61,220900,62300
62,230300,11500
63,239400,1698800
64,228100,14100
65,235600,96700
66,232300,14200
67,241800,92900
68,274700,18000
69,266100,90400
70,265300,9900
71,259900,72800
72,269100,17200
73,264400,2100
74,274200,2200
75,308700,2100
76,277000,2400
77,271200,2400
78,286200,2800
79,286800,2400
80,282400,12700
81,280600,2500
82,294300,2500
83,297800,2500
84,290600,2800
85,303300,2600
86,304600,2700
87,707700,3100
88,338400,3000
89,349300,3000
90,343700,3100
91,319400,3200
92,331800,3400
93,350500,3200
94,336800,3500
95,333000,3300
96,339800,3400
97,329500,12600
98,347100,3300
99,348000,3400
100,358000,3500
101,351800,3500
102,355600,3500
103,361700,3700
104,360900,3700
105,390200,4000
106,504000,3900
107,561400,4500
108,396600,4100
109,396200,4100
110,395600,4600
111,413600,4900
112,394000,4300
113,456900,4500
114,410700,4600
115,424900,4500
116,408200,4600
117,418100,6400
118,469800,5200
119,433900,5100
120,456700,4900
121,442600,6000
122,463900,5500
123,466300,5300
124,456600,5700
125,457200,5600
126,479900,6200
127,475500,5800
128,640900,6000
129,2634000,6700
130,494100,6100
131,547900,6400
132,513800,6200
133,533100,6300
134,504600,7500
135,496100,6500
136,506700,6400
137,522700,6600
138,946100,7200
139,533900,6900
140,516800,7000
141,604100,7200
142,565400,9600
143,540900,6900
144,555500,6800
145,534500,7300
146,535000,7500
147,546400,7800
148,517300,7400
149,525600,7500
150,518900,8900
151,600200,7900
152,548300,8100
153,570400,7900
154,631500,8300
155,572500,8000
156,575300,8400
157,568100,20200
158,592800,14300
159,704400,10000
160,775500,10000
161,1688300,9700
162,655000,11600
163,670600,9400
164,620500,9100
165,734200,9200
166,626500,9400
167,624800,9400
168,737100,9900
169,678200,10700
170,692500,11400
171,690400,10300
172,717000,10200
173,1297800,10700
174,1206100,21100
175,681000,10200
176,1597400,12800
177,702700,10500
178,720600,10600
179,744400,11300
180,642600,10700
181,1274600,15200
182,690700,12700
183,1085600,13000
184,2236900,11800
185,708100,21400
186,956200,12200
187,716500,12200
188,754800,12700
189,703900,12200
190,852300,12500
191,1358700,12400
192,1234600,13800
193,2268100,14200
194,1778200,12600
195,760400,13200
196,1134900,17200
197,1368200,24500
198,2180200,13600
199,5156000,26400
200,1253900,108500
201,1259800,13500
202,5932400,22500
203,7472500,13700
204,3281600,14000
205,763700,13900
206,976600,15200
207,991400,14500
208,3777900,14700
209,1040100,14400
210,954500,14700
211,1126200,28900
212,1059600,17600
213,1454700,19700
214,1224900,15300
215,1241500,279700
216,992200,16100
217,989000,29600
218,1277300,16500
219,921100,17500
220,1225300,16100
221,1176600,16300
222,927500,38500
223,1330300,17000
224,1121900,16900
225,1112000,16800
226,828900,71200
227,1007000,28300
228,1049400,22300
229,918600,17700
230,1043700,17600
231,1009000,113300
232,1011900,45600
233,1016700,20800
234,1290000,18800
235,899600,44700
236,829100,18100
237,872800,18800
238,1057500,20800
239,972500,19000
240,902300,19300
241,919600,19600
242,889700,19500
243,1186700,19400
244,1028500,19500
245,1057600,19800
246,976100,20300
247,925100,26600
248,1023500,29500
249,982300,20700
250,1010500,35200
251,1040100,21400
252,967500,28000
253,1330300,31100
254,897600,21100
255,924300,22900
256,1115700,21800
257,906300,33500
258,1807500,22000
259,1076000,22200
260,893300,30800
261,1163400,28400
262,1748900,24000
263,937900,22500
264,917400,33600
265,924900,22900
266,961200,22800
267,954800,23100
268,966900,24000
269,954100,23800
270,967900,24400
271,961600,24600
272,1115300,24600
273,1244300,162400
274,8872800,35000
275,1045100,35800
276,1301700,27100
277,1888200,26200
278,1287000,36000
279,1071300,26000
280,993600,35800
281,1014600,26000
282,1343200,27600
283,1018400,26600
284,1010700,26700
285,1053200,36800
286,1037900,40900
287,1051100,27000
288,1058900,27100
289,1053900,37400
290,1042300,28400
291,1054300,40900
292,1038800,38000
293,1099200,29300
294,1081800,28500
295,1104800,28600
296,1093200,57200
297,1076300,29900
298,1267700,29600
299,1104600,29400
300,1174100,30500
301,1727600,29900
302,2680400,29300
303,1152500,40500
304,1092800,30500
305,1129700,31100
306,1140200,37200
307,1132300,32500
308,1135000,40400
309,1111200,31300
310,1260200,31800
311,1236800,42400
312,1138200,42500
313,1163800,31500
314,1157000,37800
315,1191400,42300
316,1208900,32900
317,1138000,44700
318,1133900,33500
319,1184100,34100
320,1535800,36500
321,1237700,35400
322,1257400,40000
323,1205300,40500
324,1220400,33600
325,1371500,34500
326,1255400,34000
327,1263400,44000
328,1215200,41200
329,1276200,50400
330,1370500,61800
331,1324000,46700
332,1268300,41900
333,1296900,49500
334,1330600,47400
335,1203500,48200
336,1254800,37200
337,1241400,37400
338,1251100,76800
339,1760200,67200
340,1249500,51600
341,1282000,38400
342,1299400,40800
343,1343100,38400
344,1255600,49800
345,1207300,38700
346,1184100,38500
347,1296800,40100
348,1368300,45200
349,1367300,49100
350,1374100,40900
351,1550200,56000
352,1426900,41200
353,1323900,45900
354,1306900,46200
355,1254700,41800
356,1232900,40900
357,1240100,40900
358,1590700,57100
359,1339300,52000
360,1791900,42400
361,1288700,72400
362,1250100,51000
363,1321900,52900
364,1420500,54800
365,1367100,70100
366,1343900,49000
367,1372000,43600
368,1513000,509200
369,1408800,45500
370,1334200,44900
371,1302300,54300
372,1299500,53800
373,1311400,45000
374,1319100,54300
375,1344100,65200
376,1353000,46600
377,1507500,89800
378,1483500,46600
379,1462000,52400
380,1339900,55600
381,1415500,52800
382,1380400,47700
383,1395500,53200
384,1406900,53600
385,1412900,59600
386,1497300,48300
387,1595000,52400
388,1494100,48800
389,1436900,54500
390,1393600,49800
391,1431800,59300
392,1438000,54900
393,1639300,70000
394,1456500,61100
395,1427500,50200
396,1409500,50500
397,1393700,60800
398,1370600,52600
399,1351700,50500
400,1361100,51000
401,1371100,51000
402,2040200,72200
403,1686300,61700
404,1630300,55200
405,1664200,61700
406,1534400,63600
407,1615400,59000
408,1552500,58500
409,1432300,58700
410,1597400,64400
411,1443400,63600
412,1450700,54700
413,1585400,55300
414,1458100,64500
415,1446500,68700
416,1500500,75100
417,1525400,59300
418,1616000,85200
419,1731400,57400
420,2182600,67200
421,1636100,58000
422,1600300,69000
423,1557500,70400
424,1640500,57400
425,2197600,58200
426,1648700,64000
427,1823100,58500
428,1517700,69800
429,1565300,72800
430,1565500,60400
431,1678100,63000
432,1630600,62900
433,1678600,60800
434,1549300,60700
435,1644500,61200
436,1766800,79800
437,1670400,61700
438,1538200,71100
439,1612600,67200
440,1909200,79800
441,2185800,64000
442,1616300,62400
443,1902000,75600
444,2095500,63600
445,1698000,74000
446,1519400,80400
447,1819300,64300
448,1699400,65500
449,1656000,64900
450,1722600,77700
451,1677000,78000
452,1672100,81500
453,1667800,77400
454,1656600,71500
455,1714600,69700
456,1702700,80200
457,1721100,79300
458,1653300,124500
459,2398200,88300
460,1706600,95700
461,2177800,68500
462,1722500,79900
463,1712200,74100
464,1644600,80900
465,1664800,80900
466,1761900,82300
467,1727900,81600
468,1736900,81700
469,2037400,81700
470,1704400,71500
471,1656500,72500
472,1689900,72900
473,1957200,87000
474,1695100,72300
475,1916900,93800
476,1915000,82400
477,1817200,73900
478,1713100,73500
479,1764800,87500
480,1730000,84400
481,1787500,74800
482,1699800,75200
483,1790700,74700
484,1801600,91800
485,1766900,76200
486,1944400,106700
487,1788000,81900
488,1856300,88400
489,1879200,83000
490,1785900,76100
491,2511900,120000
492,1819800,97700
493,2103800,88200
494,1843300,90200
495,1944000,92000
496,5603400,91000
497,3431500,198100
498,1929700,79500
499,1768900,90000
500,2237000,106500
501,2079900,98500
502,1743400,80400
503,1753000,82200
504,1802200,93400
505,1763200,91000
506,1778100,83400
507,1830200,251900
508,2884500,96200
509,2029800,97700
510,1890400,94800
511,1855500,108500
512,1917900,89100
513,1873300,111200
514,1870500,97300
515,1927200,102000
516,2050400,97100
517,1948000,97600
518,1943700,96800
519,1880700,96800
520,1880800,97500
521,1884700,86200
522,1806800,87700
523,2194400,120100
524,2079900,131700
525,1959600,104300
526,1917100,103800
527,1933100,101400
528,1920300,100900
529,1921000,102000
530,2117000,146700
