n,Loop A (ns),Loop B (ns)
1,377296,26130
2,716365,1288
3,925706,1418
4,1206130,2087
5,1008340,2365
6,346269,3558
7,373477,4102
8,259581,2971
9,119076,3255
10,164859,5963
11,111143,4158
12,47655,4890
13,51557,5449
14,55532,8132
15,74317,8900
16,63374,7774
17,386677,10742
18,107657,27390
19,113248,12083
20,144688,23779
21,91730,18601
22,90389,18618
23,151136,35146
24,113675,22011
25,101433,24164
26,104262,31122
27,115858,34969
28,112967,31158
29,116993,37721
30,124168,26061
31,122411,27654
32,137770,30635
33,133346,42152
34,136953,47631
35,139680,47951
36,144947,44197
37,149001,37619
38,150013,40890
39,153832,41150
40,167746,64073
41,163013,46822
42,171285,66308
43,173335,134050
44,207913,74656
45,183094,78625
46,187617,79514
47,191774,87599
48,196365,87677
49,216272,96322
50,203179,100177
51,206510,96576
52,219055,105716
53,230512,119455
54,220331,108684
55,222123,112558
56,233736,116766
57,232503,120266
58,236260,139222
59,247945,143982
60,242101,62191
61,246354,24670
62,393065,23156
63,301268,27176
64,260035,24165
65,267164,25617
66,295964,21824
67,271215,27931
68,275097,48640
69,295039,33746
70,283160,30610
71,292590,29895
72,292288,134863
73,296956,31180
74,305713,85086
75,343726,29208
76,307720,84321
77,311695,33613
78,326113,3008
79,343774,3178
80,428360,3278
81,347683,3115
82,364291,3263
83,460354,3834
84,369168,3411
85,470389,4113
86,419741,3655
87,387981,3652
88,386344,3742
89,408092,3652
90,386978,3776
91,382528,3911
92,501976,4128
93,379989,3862
94,387675,4036
95,402450,4388
96,390285,4875
97,420501,4128
98,403642,4204
99,440676,4316
100,502334,4713
101,410689,4436
102,497802,4713
103,429759,4666
104,421048,4727
105,426532,4817
106,435755,4876
107,446929,5015
108,438309,5043
109,441878,5063
110,470107,5299
111,475577,5073
112,474220,5230
113,463281,5280
114,470706,5352
115,455889,5412
116,461342,5514
117,493705,5622
118,465943,5642
119,469990,5742
120,504920,5858
121,490174,6003
122,481052,6060
123,525840,6143
124,494001,6203
125,493197,6303
126,503967,6529
127,517155,6566
128,535433,6667
129,526868,7475
130,531926,6898
131,522534,6939
132,519656,6991
133,526467,7167
134,549867,7278
135,545996,7345
136,535578,7394
137,547446,7556
138,549131,7636
139,547612,7721
140,563640,7893
141,560589,7975
142,572760,8449
143,563054,8178
144,571419,8261
145,586712,12520
146,574932,8610
147,590163,8729
148,641081,9311
149,593035,8918
150,613643,9009
151,595807,9125
152,603962,9240
153,610218,9593
154,618046,9788
155,722441,15123
156,616431,10260
157,622654,9863
