n,Loop A (ns),Loop C (ns)
1,317948,2393
2,1330516,2070
3,1657483,3237
4,1158874,5078
5,2444053,8774
6,145476,15210
7,132383,16214
8,122997,26231
9,32734,33793
10,34034,46813
11,60026,66884
12,47641,93613
13,58941,124754
14,48954,110578
15,52602,98475
16,60746,129530
17,59673,176851
18,65043,199576
19,73066,272608
20,67273,279713
21,76233,278087
22,82837,428741
23,79384,113828
24,291365,82143
25,92088,348010
26,304009,373165
27,304441,320226
28,300913,9835
29,344403,9917
30,378665,10981
31,329287,19226
32,347248,16374
33,327804,20153
34,348834,18457
35,559387,19986
36,363053,17812
37,609245,18534
38,337592,20832
39,367723,23751
40,200691,25741
41,177909,54865
42,180147,28140
43,187823,49250
44,198183,85068
45,214832,83616
46,189177,44082
47,205116,44139
48,195645,48197
49,273104,51569
50,743810,46889
51,263254,53067
52,256469,89393
53,247311,97759
54,224724,97129
55,251289,62228
56,259028,64924
57,249502,103514
58,309466,125465
59,288240,145377
60,234887,109617
61,438136,96270
62,490889,135097
63,287171,91659
64,290782,98091
65,651258,119534
66,467560,311029
67,433289,487179
68,723851,177384
69,589137,666244
70,447036,337243
71,384446,132977
72,309450,159916
73,248486,144840
74,259217,145731
75,254604,148664
76,260544,200442
77,308061,195633
78,268067,176063
79,276426,175281
80,276913,208898
81,282725,196144
82,282735,205599
83,288709,242994
84,356491,253625
85,345901,220868
86,305305,227934
87,310917,240289
88,299397,255112
89,324681,279323
90,312085,274260
91,312639,271965
92,316976,287291
93,319655,287613
94,324184,308176
95,328024,323095
96,432194,391153
97,336752,323578
98,396641,391845
99,368357,411032
100,354344,431195
101,404386,442187
102,382744,385200
103,353604,395636
104,361552,408075
105,416414,494521
106,374125,455566
107,373332,457192
108,386956,1339495
109,399301,476587
110,389420,512829
111,420549,545795
112,2350949,495807
113,379188,511187
114,380358,571028
115,402519,567202
116,441161,691874
117,10908975,589540
118,409705,593816
119,409095,625869
120,412133,656069
121,427516,780626
122,479373,676268
123,424744,698803
124,457435,732988
125,504279,757363
126,454675,772403
127,537478,865401
128,464558,809728
129,638069,937517
130,435737,806997
131,458791,1518725
132,499826,971467
133,470281,881979
134,527778,1076233
135,476741,1041281
136,518711,1036435
137,614625,1068041
138,492992,1007734
139,467189,1016261
140,534540,1246591
141,602545,1052583
142,551053,1278706
143,501659,1117020
144,603810,1260303
145,518747,1174551
146,526774,1198095
147,554654,1402591
148,566617,1254221
149,533986,1430953
150,534900,1286192
151,533956,1275119
152,528876,2424414
153,569347,1323951
154,559463,1373883
155,542486,1393248
156,624846,1583531
157,559309,1465731
158,563894,1522727
159,563771,1566994
160,566129,1568138
161,646402,1718497
162,574584,1553222
163,558326,1835054
164,568894,1745366
165,578730,1715621
166,690224,1777022
167,691704,2074485
168,639637,2049952
169,785924,2055667
170,580883,1886236
171,618632,2055987
172,693824,2237761
173,736819,2385713
174,672177,2205524
175,743686,2205881
176,668954,2240454
177,639397,2860762
178,653882,2567520
179,756007,3872573
180,721679,2404605
181,672237,4616336
182,698796,3859110
183,653053,2338228
184,794899,2442383
185,945145,2838958
186,1105160,4010526
187,782209,3488867
188,5108548,4047439
189,869615,3698708
190,816165,4406902
191,984586,7579929
192,867595,3921557
193,879875,3653796
194,864283,4120162
195,814505,5018555
196,1017639,5509006
197,7446027,4245863
198,1630898,2972916
199,794630,17430018
200,672540,10212214
201,804514,5155967
202,914879,6716066
203,5664122,4025342
204,1958337,10169481
205,6139443,3602749
206,1814896,7564571
207,822165,8018697
208,1699147,7904272
209,807049,8715095
210,826834,9961565
211,851489,12653789
212,2190000,8480652
213,807124,6441126
214,2049476,9671149
215,8583866,4287902
216,1045260,11057604
217,1304589,3981714
218,819746,11473576
219,2004140,9762351
220,2610614,8104105
221,977815,12504341
222,5652736,14243453
223,942677,7568149
224,4082507,5688126
225,3612710,14258752
226,1659214,11325474
227,1787019,14524769
228,804368,9107248
229,2630772,10872978
230,801420,4763801
231,864362,12847170
232,847023,23045875
233,796908,4648891
234,811285,15149352
235,904872,8382789
236,3115190,4847739
237,801346,21603970
238,975479,7721342
239,836476,5406712
240,845039,5660464
241,834923,11631261
242,841982,9770379
243,961615,5420468
244,886994,5506400
245,5814902,9225046
246,1026156,5548761
247,13772259,6264143
248,1033420,5716668
249,3882047,17291635
250,1050042,5959954
251,856668,6762636
252,912633,6309024
253,1048454,6532227
254,875826,6607340
255,1035805,7050751
256,936329,6974438
257,1007777,7572263
258,892116,8278177
259,1066458,7280387
260,962783,6848931
261,1022985,7028251
262,894652,6955623
263,912140,7249493
264,1099844,7278844
265,911646,7233398
266,927847,7286468
267,1053200,7647771
268,963593,7482034
269,1003318,7676718
270,1148533,7943901
271,965342,7684144
272,941617,7671583
273,957393,7882925
274,1046659,8038554
275,1103646,8066415
276,1163073,8599876
277,1163338,9467722
278,1024050,8823213
279,1105795,8746609
280,1379477,8598837
281,1024681,8759466
282,1222197,9112306
283,1011387,9223632
284,1000359,9109107
285,1022393,9212965
286,986589,9185394
287,987978,9762046
288,1119501,9636407
289,1206166,10474243
290,997145,9733374
291,1157281,10064786
292,1125202,9701100
293,1035833,9790584
294,1033314,9579142
295,1131231,14200926
296,1088394,21635864
297,1179392,15154980
298,1719188,14516647
299,1155082,11688991
300,1078835,11100740
301,1196195,11076285
302,1343100,12685155
303,1375050,13549933
304,1814859,13921957
305,1496430,14437905
306,1174660,13731300
