n,Loop A (ns),Loop B (ns)
1,97200,900
2,327200,700
3,463600,800
4,465000,1700
5,365700,1500
6,466000,1400
7,553300,2400
8,190200,2800
9,188800,3900
10,118900,4700
11,50800,4200
12,38200,4800
13,60000,6100
14,44600,8600
15,69800,4100
16,80100,3300
17,74300,4500
18,73100,6500
19,75700,4100
20,81200,6500
21,78300,4800
22,84200,5100
23,91900,34800
24,92500,14300
25,97200,10300
26,99600,17800
27,105100,14100
28,103900,12700
29,122000,11900
30,115500,17400
31,133200,12600
32,125300,38400
33,126700,12700
34,135300,13500
35,125300,13700
36,141500,14400
37,139600,15200
38,155300,30200
39,152800,17000
40,155600,17700
41,160200,18700
42,166400,18900
43,174000,20200
44,167000,20800
45,165500,21600
46,177100,22300
47,189500,23300
48,187000,39300
49,189200,38600
50,227900,36700
51,204200,68800
52,204000,105300
53,223300,143000
54,230000,51800
55,242300,32700
56,198600,87700
57,214900,34700
58,238300,7100
59,236000,82300
60,227100,7200
61,239800,55600
62,239200,7900
63,256300,42200
64,244500,8200
65,238400,50600
66,265400,9000
67,252300,70400
68,231700,16300
69,246800,57600
70,260700,52300
71,263100,10100
72,259800,38000
73,271000,10600
74,265900,2100
75,274100,1900
76,285200,2100
77,274900,2000
78,287900,2100
79,287900,2000
80,291200,2200
81,305100,2800
82,285800,2500
83,292500,2500
84,306600,2700
85,297800,2500
86,337000,2600
87,315300,2800
88,306900,2800
89,308900,3000
90,341400,2800
91,336600,2800
92,332100,2800
93,337200,2900
94,350100,3000
95,367000,1251900
96,350000,3400
97,358000,3200
98,361800,3200
99,370000,3400
100,373100,3400
101,362200,3400
102,380100,3400
103,373900,3400
104,377000,3500
